ID,URL,Title,Difficulty,Acceptance %,Frequency %
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.30%,50.00%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,58.10%,50.00%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.40%,50.00%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,52.80%,50.00%
136,https://leetcode.com/problems/single-number,Single Number,Easy,77.30%,50.00%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.80%,50.00%
160,https://leetcode.com/problems/intersection-of-two-linked-lists,Intersection of Two Linked Lists,Easy,63.20%,50.00%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.80%,50.00%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,64.60%,50.00%
175,https://leetcode.com/problems/combine-two-tables,Combine Two Tables,Easy,79.20%,50.00%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.40%,50.00%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.90%,50.00%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.80%,50.00%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.20%,50.00%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.20%,50.00%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.80%,50.00%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.10%,50.00%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,50.80%,50.00%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.60%,50.00%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,67.80%,50.00%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.50%,50.00%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.50%,50.00%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,65.80%,50.00%
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard,37.70%,50.00%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.20%,50.00%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,59.00%,50.00%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.20%,50.00%
704,https://leetcode.com/problems/binary-search,Binary Search,Easy,60.50%,50.00%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.70%,50.00%
912,https://leetcode.com/problems/sort-an-array,Sort an Array,Medium,55.90%,50.00%
1502,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence,Can Make Arithmetic Progression From Sequence,Easy,69.20%,50.00%
1757,https://leetcode.com/problems/recyclable-and-low-fat-products,Recyclable and Low Fat Products,Easy,88.80%,50.00%
1768,https://leetcode.com/problems/merge-strings-alternately,Merge Strings Alternately,Easy,82.10%,50.00%
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,72.30%,50.00%
2667,https://leetcode.com/problems/create-hello-world-function,Create Hello World Function,Easy,82.00%,50.00%
3453,https://leetcode.com/problems/separate-squares-i,Separate Squares I,Medium,58.00%,50.00%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,53.50%,37.50%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,30.40%,37.50%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.40%,37.50%
16,https://leetcode.com/problems/3sum-closest,3Sum Closest,Medium,48.00%,37.50%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,65.50%,37.50%
18,https://leetcode.com/problems/4sum,4Sum,Medium,40.00%,37.50%
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,51.00%,37.50%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,58.80%,37.50%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.20%,37.50%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.00%,37.50%
35,https://leetcode.com/problems/search-insert-position,Search Insert Position,Easy,50.70%,37.50%
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,65.40%,37.50%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.10%,37.50%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.30%,37.50%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.50%,37.50%
57,https://leetcode.com/problems/insert-interval,Insert Interval,Medium,44.70%,37.50%
58,https://leetcode.com/problems/length-of-last-word,Length of Last Word,Easy,58.30%,37.50%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.50%,37.50%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,41.40%,37.50%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.10%,37.50%
83,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Remove Duplicates from Sorted List,Easy,56.20%,37.50%
100,https://leetcode.com/problems/same-tree,Same Tree,Easy,66.60%,37.50%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,63.10%,37.50%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,78.70%,37.50%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,70.70%,37.50%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,44.90%,37.50%
130,https://leetcode.com/problems/surrounded-regions,Surrounded Regions,Medium,44.70%,37.50%
135,https://leetcode.com/problems/candy,Candy,Hard,47.90%,37.50%
137,https://leetcode.com/problems/single-number-ii,Single Number II,Medium,66.70%,37.50%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.10%,37.50%
141,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,53.90%,37.50%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.00%,37.50%
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,53.80%,37.50%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,42.60%,37.50%
181,https://leetcode.com/problems/employees-earning-more-than-their-managers,Employees Earning More Than Their Managers,Easy,72.80%,37.50%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,48.00%,37.50%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,50.80%,37.50%
209,https://leetcode.com/problems/minimum-size-subarray-sum,Minimum Size Subarray Sum,Medium,51.00%,37.50%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.00%,37.50%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,50.00%,37.50%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,46.50%,37.50%
231,https://leetcode.com/problems/power-of-two,Power of Two,Easy,49.80%,37.50%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.40%,37.50%
249,https://leetcode.com/problems/group-shifted-strings,Group Shifted Strings,Medium,67.70%,37.50%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,71.60%,37.50%
278,https://leetcode.com/problems/first-bad-version,First Bad Version,Easy,46.80%,37.50%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,64.00%,37.50%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.00%,37.50%
304,https://leetcode.com/problems/range-sum-query-2d-immutable,Range Sum Query 2D - Immutable,Medium,57.80%,37.50%
319,https://leetcode.com/problems/bulb-switcher,Bulb Switcher,Medium,55.50%,37.50%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,47.90%,37.50%
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,80.50%,37.50%
345,https://leetcode.com/problems/reverse-vowels-of-a-string,Reverse Vowels of a String,Easy,60.60%,37.50%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.80%,37.50%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.30%,37.50%
383,https://leetcode.com/problems/ransom-note,Ransom Note,Easy,65.60%,37.50%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.00%,37.50%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,59.80%,37.50%
414,https://leetcode.com/problems/third-maximum-number,Third Maximum Number,Easy,38.80%,37.50%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.50%,37.50%
448,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array,Find All Numbers Disappeared in an Array,Easy,63.70%,37.50%
485,https://leetcode.com/problems/max-consecutive-ones,Max Consecutive Ones,Easy,64.60%,37.50%
518,https://leetcode.com/problems/coin-change-ii,Coin Change II,Medium,60.50%,37.50%
636,https://leetcode.com/problems/exclusive-time-of-functions,Exclusive Time of Functions,Medium,66.10%,37.50%
645,https://leetcode.com/problems/set-mismatch,Set Mismatch,Easy,44.20%,37.50%
743,https://leetcode.com/problems/network-delay-time,Network Delay Time,Medium,59.70%,37.50%
778,https://leetcode.com/problems/swim-in-rising-water,Swim in Rising Water,Hard,67.60%,37.50%
799,https://leetcode.com/problems/champagne-tower,Champagne Tower,Medium,64.00%,37.50%
843,https://leetcode.com/problems/guess-the-word,Guess the Word,Hard,36.90%,37.50%
904,https://leetcode.com/problems/fruit-into-baskets,Fruit Into Baskets,Medium,50.50%,37.50%
961,https://leetcode.com/problems/n-repeated-element-in-size-2n-array,N-Repeated Element in Size 2N Array,Easy,79.80%,37.50%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.60%,37.50%
992,https://leetcode.com/problems/subarrays-with-k-different-integers,Subarrays with K Different Integers,Hard,67.50%,37.50%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.10%,37.50%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,67.30%,37.50%
1015,https://leetcode.com/problems/smallest-integer-divisible-by-k,Smallest Integer Divisible by K,Medium,54.30%,37.50%
1101,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,The Earliest Moment When Everyone Become Friends,Medium,65.90%,37.50%
1143,https://leetcode.com/problems/longest-common-subsequence,Longest Common Subsequence,Medium,58.90%,37.50%
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,75.00%,37.50%
1339,https://leetcode.com/problems/maximum-product-of-splitted-binary-tree,Maximum Product of Splitted Binary Tree,Medium,55.50%,37.50%
1470,https://leetcode.com/problems/shuffle-the-array,Shuffle the Array,Easy,89.00%,37.50%
1480,https://leetcode.com/problems/running-sum-of-1d-array,Running Sum of 1d Array,Easy,86.90%,37.50%
1752,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Check if Array Is Sorted and Rotated,Easy,55.70%,37.50%
1877,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,Minimize Maximum Pair Sum in Array,Medium,83.30%,37.50%
1925,https://leetcode.com/problems/count-square-sum-triples,Count Square Sum Triples,Easy,77.10%,37.50%
1975,https://leetcode.com/problems/maximum-matrix-sum,Maximum Matrix Sum,Medium,67.60%,37.50%
2188,https://leetcode.com/problems/minimum-time-to-finish-the-race,Minimum Time to Finish the Race,Hard,43.30%,37.50%
2235,https://leetcode.com/problems/add-two-integers,Add Two Integers,Easy,87.90%,37.50%
3010,https://leetcode.com/problems/divide-an-array-into-subarrays-with-minimum-cost-i,Divide an Array Into Subarrays With Minimum Cost I,Easy,80.50%,37.50%
3637,https://leetcode.com/problems/trionic-array-i,Trionic Array I,Easy,49.50%,37.50%
3721,https://leetcode.com/problems/longest-balanced-subarray-ii,Longest Balanced Subarray II,Hard,33.80%,37.50%
24,https://leetcode.com/problems/swap-nodes-in-pairs,Swap Nodes in Pairs,Medium,68.90%,25.00%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,65.30%,25.00%
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,59.00%,25.00%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.40%,25.00%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,31.30%,25.00%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,42.40%,25.00%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.20%,25.00%
60,https://leetcode.com/problems/permutation-sequence,Permutation Sequence,Hard,52.10%,25.00%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,50.00%,25.00%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,62.40%,25.00%
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,53.50%,25.00%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,46.90%,25.00%
80,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,Medium,64.30%,25.00%
86,https://leetcode.com/problems/partition-list,Partition List,Medium,60.60%,25.00%
90,https://leetcode.com/problems/subsets-ii,Subsets II,Medium,60.90%,25.00%
92,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,Medium,51.00%,25.00%
94,https://leetcode.com/problems/binary-tree-inorder-traversal,Binary Tree Inorder Traversal,Easy,79.70%,25.00%
97,https://leetcode.com/problems/interleaving-string,Interleaving String,Medium,43.50%,25.00%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,35.30%,25.00%
99,https://leetcode.com/problems/recover-binary-search-tree,Recover Binary Search Tree,Medium,58.70%,25.00%
110,https://leetcode.com/problems/balanced-binary-tree,Balanced Binary Tree,Easy,57.80%,25.00%
112,https://leetcode.com/problems/path-sum,Path Sum,Easy,54.40%,25.00%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.00%,25.00%
131,https://leetcode.com/problems/palindrome-partitioning,Palindrome Partitioning,Medium,73.70%,25.00%
133,https://leetcode.com/problems/clone-graph,Clone Graph,Medium,64.70%,25.00%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.50%,25.00%
142,https://leetcode.com/problems/linked-list-cycle-ii,Linked List Cycle II,Medium,57.20%,25.00%
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,64.60%,25.00%
148,https://leetcode.com/problems/sort-list,Sort List,Medium,63.80%,25.00%
150,https://leetcode.com/problems/evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,57.00%,25.00%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,57.70%,25.00%
168,https://leetcode.com/problems/excel-sheet-column-title,Excel Sheet Column Title,Easy,45.70%,25.00%
177,https://leetcode.com/problems/nth-highest-salary,Nth Highest Salary,Medium,38.80%,25.00%
178,https://leetcode.com/problems/rank-scores,Rank Scores,Medium,67.10%,25.00%
183,https://leetcode.com/problems/customers-who-never-order,Customers Who Never Order,Easy,71.50%,25.00%
196,https://leetcode.com/problems/delete-duplicate-emails,Delete Duplicate Emails,Easy,65.60%,25.00%
197,https://leetcode.com/problems/rising-temperature,Rising Temperature,Easy,51.00%,25.00%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.60%,25.00%
229,https://leetcode.com/problems/majority-element-ii,Majority Element II,Medium,55.80%,25.00%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,57.40%,25.00%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,68.70%,25.00%
263,https://leetcode.com/problems/ugly-number,Ugly Number,Easy,43.10%,25.00%
279,https://leetcode.com/problems/perfect-squares,Perfect Squares,Medium,56.30%,25.00%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.20%,25.00%
303,https://leetcode.com/problems/range-sum-query-immutable,Range Sum Query - Immutable,Easy,71.40%,25.00%
312,https://leetcode.com/problems/burst-balloons,Burst Balloons,Hard,62.90%,25.00%
315,https://leetcode.com/problems/count-of-smaller-numbers-after-self,Count of Smaller Numbers After Self,Hard,43.30%,25.00%
337,https://leetcode.com/problems/house-robber-iii,House Robber III,Medium,55.60%,25.00%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.50%,25.00%
350,https://leetcode.com/problems/intersection-of-two-arrays-ii,Intersection of Two Arrays II,Easy,59.70%,25.00%
351,https://leetcode.com/problems/android-unlock-patterns,Android Unlock Patterns,Medium,53.70%,25.00%
360,https://leetcode.com/problems/sort-transformed-array,Sort Transformed Array,Medium,57.80%,25.00%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.60%,25.00%
371,https://leetcode.com/problems/sum-of-two-integers,Sum of Two Integers,Medium,55.00%,25.00%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,64.00%,25.00%
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,36.40%,25.00%
407,https://leetcode.com/problems/trapping-rain-water-ii,Trapping Rain Water II,Hard,64.00%,25.00%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,75.20%,25.00%
417,https://leetcode.com/problems/pacific-atlantic-water-flow,Pacific Atlantic Water Flow,Medium,60.60%,25.00%
430,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,Flatten a Multilevel Doubly Linked List,Medium,62.50%,25.00%
437,https://leetcode.com/problems/path-sum-iii,Path Sum III,Medium,46.30%,25.00%
438,https://leetcode.com/problems/find-all-anagrams-in-a-string,Find All Anagrams in a String,Medium,53.30%,25.00%
442,https://leetcode.com/problems/find-all-duplicates-in-an-array,Find All Duplicates in an Array,Medium,76.80%,25.00%
444,https://leetcode.com/problems/sequence-reconstruction,Sequence Reconstruction,Medium,30.50%,25.00%
450,https://leetcode.com/problems/delete-node-in-a-bst,Delete Node in a BST,Medium,54.20%,25.00%
455,https://leetcode.com/problems/assign-cookies,Assign Cookies,Easy,54.70%,25.00%
503,https://leetcode.com/problems/next-greater-element-ii,Next Greater Element II,Medium,67.90%,25.00%
507,https://leetcode.com/problems/perfect-number,Perfect Number,Easy,47.90%,25.00%
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,73.90%,25.00%
525,https://leetcode.com/problems/contiguous-array,Contiguous Array,Medium,50.80%,25.00%
541,https://leetcode.com/problems/reverse-string-ii,Reverse String II,Easy,53.30%,25.00%
550,https://leetcode.com/problems/game-play-analysis-iv,Game Play Analysis IV,Medium,40.70%,25.00%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,48.40%,25.00%
595,https://leetcode.com/problems/big-countries,Big Countries,Easy,68.40%,25.00%
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,29.00%,25.00%
643,https://leetcode.com/problems/maximum-average-subarray-i,Maximum Average Subarray I,Easy,47.00%,25.00%
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,49.40%,25.00%
678,https://leetcode.com/problems/valid-parenthesis-string,Valid Parenthesis String,Medium,39.80%,25.00%
693,https://leetcode.com/problems/binary-number-with-alternating-bits,Binary Number with Alternating Bits,Easy,69.70%,25.00%
701,https://leetcode.com/problems/insert-into-a-binary-search-tree,Insert into a Binary Search Tree,Medium,73.30%,25.00%
703,https://leetcode.com/problems/kth-largest-element-in-a-stream,Kth Largest Element in a Stream,Easy,60.70%,25.00%
714,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,Best Time to Buy and Sell Stock with Transaction Fee,Medium,71.70%,25.00%
715,https://leetcode.com/problems/range-module,Range Module,Hard,44.70%,25.00%
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,60.90%,25.00%
728,https://leetcode.com/problems/self-dividing-numbers,Self Dividing Numbers,Easy,80.50%,25.00%
731,https://leetcode.com/problems/my-calendar-ii,My Calendar II,Medium,62.90%,25.00%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,67.80%,25.00%
756,https://leetcode.com/problems/pyramid-transition-matrix,Pyramid Transition Matrix,Medium,60.60%,25.00%
811,https://leetcode.com/problems/subdomain-visit-count,Subdomain Visit Count,Medium,77.20%,25.00%
833,https://leetcode.com/problems/find-and-replace-in-string,Find And Replace in String,Medium,50.90%,25.00%
840,https://leetcode.com/problems/magic-squares-in-grid,Magic Squares In Grid,Medium,55.10%,25.00%
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,49.80%,25.00%
876,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,Easy,81.50%,25.00%
933,https://leetcode.com/problems/number-of-recent-calls,Number of Recent Calls,Easy,78.10%,25.00%
934,https://leetcode.com/problems/shortest-bridge,Shortest Bridge,Medium,59.30%,25.00%
939,https://leetcode.com/problems/minimum-area-rectangle,Minimum Area Rectangle,Medium,55.30%,25.00%
944,https://leetcode.com/problems/delete-columns-to-make-sorted,Delete Columns to Make Sorted,Easy,78.00%,25.00%
956,https://leetcode.com/problems/tallest-billboard,Tallest Billboard,Hard,51.80%,25.00%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.70%,25.00%
986,https://leetcode.com/problems/interval-list-intersections,Interval List Intersections,Medium,72.90%,25.00%
987,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Vertical Order Traversal of a Binary Tree,Hard,53.20%,25.00%
1021,https://leetcode.com/problems/remove-outermost-parentheses,Remove Outermost Parentheses,Easy,86.80%,25.00%
1025,https://leetcode.com/problems/divisor-game,Divisor Game,Easy,71.50%,25.00%
1044,https://leetcode.com/problems/longest-duplicate-substring,Longest Duplicate Substring,Hard,31.10%,25.00%
1071,https://leetcode.com/problems/greatest-common-divisor-of-strings,Greatest Common Divisor of Strings,Easy,53.40%,25.00%
1094,https://leetcode.com/problems/car-pooling,Car Pooling,Medium,56.20%,25.00%
1137,https://leetcode.com/problems/n-th-tribonacci-number,N-th Tribonacci Number,Easy,63.30%,25.00%
1141,https://leetcode.com/problems/user-activity-for-the-past-30-days-i,User Activity for the Past 30 Days I,Easy,50.50%,25.00%
1148,https://leetcode.com/problems/article-views-i,Article Views I,Easy,76.70%,25.00%
1161,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree,Maximum Level Sum of a Binary Tree,Medium,70.00%,25.00%
1244,https://leetcode.com/problems/design-a-leaderboard,Design A Leaderboard,Medium,68.10%,25.00%
1262,https://leetcode.com/problems/greatest-sum-divisible-by-three,Greatest Sum Divisible by Three,Medium,57.10%,25.00%
1266,https://leetcode.com/problems/minimum-time-visiting-all-points,Minimum Time Visiting All Points,Easy,84.80%,25.00%
1283,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Find the Smallest Divisor Given a Threshold,Medium,65.40%,25.00%
1292,https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,Medium,65.50%,25.00%
1351,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix,Count Negative Numbers in a Sorted Matrix,Easy,79.50%,25.00%
1411,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid,Number of Ways to Paint N × 3 Grid,Hard,80.50%,25.00%
1458,https://leetcode.com/problems/max-dot-product-of-two-subsequences,Max Dot Product of Two Subsequences,Hard,69.30%,25.00%
1482,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,Minimum Number of Days to Make m Bouquets,Medium,56.20%,25.00%
1512,https://leetcode.com/problems/number-of-good-pairs,Number of Good Pairs,Easy,89.80%,25.00%
1539,https://leetcode.com/problems/kth-missing-positive-number,Kth Missing Positive Number,Easy,63.20%,25.00%
